chr	S_1	S_2	S_3	IM_1	IM_2	IM_3	IM_4	O_1	O_2	O_3	O_4	O_5	O_6	M_1	M_2	M_3	M_4	M_5	M_6	N2C_1	N2C_2	N2C_3	N2C_4	N4C_1	N4C_2	N4C_3	N4C_4	N4C_5	N8C_1	N8C_2	N8C_3	N8C_4	N16C_1	N16C_2	N16C_3
AC_000158.1	0.669	0.697	0.62	0.314	0.324	0.318	0.369	0.308	0.361	0.373	0.345	0.269	0.389	0.294	0.309	0.365	0.296	0.294	0.325	0.323	0.374	0.23	0.25	0.295	0.329	0.234	0.286	0.223	0.166	0.297	0.242	0.403	0.215	0.386	0.281
AC_000159.1	0.688	0.709	0.647	0.266	0.243	0.246	0.304	0.25	0.367	0.403	0.281	0.318	0.356	0.278	0.244	0.266	0.279	0.244	0.266	0.455	0.396	0.231	0.333	0.228	0.288	0.254	0.39	0.242	0.168	0.242	0.187	0.374	0.245	0.35	0.292
AC_000160.1	0.662	0.684	0.618	0.28	0.288	0.272	0.342	0.294	0.344	0.379	0.333	0.278	0.336	0.299	0.312	0.304	0.268	0.27	0.276	0.369	0.349	0.227	0.257	0.252	0.335	0.221	0.301	0.219	0.184	0.26	0.228	0.396	0.24	0.358	0.299
AC_000161.1	0.655	0.681	0.604	0.32	0.332	0.328	0.371	0.308	0.354	0.384	0.339	0.274	0.358	0.299	0.328	0.339	0.307	0.314	0.317	0.343	0.345	0.237	0.233	0.293	0.306	0.232	0.262	0.211	0.169	0.309	0.316	0.403	0.242	0.371	0.301
AC_000162.1	0.714	0.73	0.68	0.267	0.259	0.26	0.36	0.252	0.374	0.446	0.289	0.269	0.343	0.316	0.295	0.258	0.276	0.251	0.263	0.477	0.465	0.226	0.355	0.24	0.315	0.266	0.425	0.199	0.135	0.241	0.278	0.388	0.24	0.418	0.318
AC_000163.1	0.676	0.701	0.633	0.303	0.314	0.296	0.377	0.292	0.351	0.405	0.41	0.269	0.327	0.282	0.291	0.366	0.297	0.281	0.31	0.362	0.383	0.233	0.246	0.294	0.304	0.222	0.29	0.229	0.148	0.288	0.358	0.406	0.275	0.373	0.295
AC_000164.1	0.61	0.633	0.565	0.313	0.312	0.314	0.359	0.307	0.36	0.383	0.282	0.219	0.331	0.285	0.307	0.338	0.291	0.299	0.322	0.358	0.362	0.227	0.259	0.283	0.311	0.25	0.297	0.191	0.176	0.293	0.214	0.39	0.247	0.382	0.314
AC_000165.1	0.609	0.646	0.553	0.339	0.366	0.355	0.398	0.353	0.347	0.369	0.373	0.209	0.374	0.327	0.361	0.35	0.342	0.334	0.351	0.286	0.314	0.21	0.206	0.294	0.293	0.201	0.232	0.169	0.142	0.31	0.175	0.364	0.229	0.326	0.25
AC_000166.1	0.671	0.699	0.623	0.276	0.283	0.278	0.355	0.301	0.341	0.397	0.357	0.205	0.388	0.266	0.287	0.305	0.301	0.256	0.297	0.359	0.364	0.211	0.236	0.266	0.285	0.218	0.3	0.184	0.13	0.277	0.226	0.388	0.238	0.352	0.267
AC_000167.1	0.657	0.68	0.608	0.265	0.261	0.271	0.306	0.282	0.384	0.37	0.244	0.242	0.343	0.258	0.269	0.308	0.246	0.259	0.278	0.4	0.4	0.225	0.266	0.267	0.354	0.219	0.344	0.195	0.143	0.238	0.243	0.37	0.236	0.329	0.291
AC_000168.1	0.728	0.742	0.694	0.275	0.261	0.262	0.352	0.262	0.386	0.435	0.339	0.219	0.374	0.318	0.284	0.272	0.265	0.258	0.268	0.456	0.459	0.239	0.336	0.255	0.293	0.261	0.422	0.227	0.18	0.255	0.356	0.416	0.244	0.396	0.361
AC_000169.1	0.717	0.738	0.684	0.243	0.234	0.244	0.334	0.229	0.401	0.449	0.27	0.226	0.359	0.271	0.272	0.264	0.263	0.216	0.235	0.487	0.387	0.231	0.346	0.221	0.328	0.261	0.428	0.253	0.135	0.227	0.247	0.421	0.218	0.364	0.302
AC_000170.1	0.706	0.723	0.662	0.262	0.25	0.274	0.333	0.246	0.36	0.394	0.297	0.357	0.339	0.292	0.288	0.305	0.286	0.245	0.246	0.457	0.445	0.236	0.315	0.255	0.268	0.242	0.378	0.252	0.173	0.244	0.301	0.419	0.253	0.395	0.316
AC_000171.1	0.692	0.713	0.649	0.284	0.276	0.275	0.358	0.293	0.34	0.429	0.316	0.199	0.348	0.297	0.295	0.322	0.274	0.296	0.299	0.428	0.414	0.225	0.301	0.274	0.237	0.244	0.351	0.218	0.162	0.271	0.134	0.417	0.279	0.359	0.31
AC_000172.1	0.695	0.711	0.658	0.272	0.257	0.272	0.373	0.279	0.388	0.44	0.325	0.259	0.343	0.315	0.262	0.284	0.243	0.267	0.293	0.461	0.432	0.243	0.308	0.292	0.29	0.264	0.402	0.217	0.189	0.263	0.326	0.386	0.232	0.353	0.308
AC_000173.1	0.714	0.73	0.679	0.257	0.248	0.246	0.349	0.248	0.379	0.451	0.316	0.247	0.394	0.324	0.258	0.273	0.269	0.249	0.242	0.479	0.444	0.243	0.358	0.264	0.309	0.249	0.438	0.248	0.177	0.246	0.426	0.423	0.27	0.366	0.327
AC_000174.1	0.729	0.739	0.698	0.271	0.253	0.261	0.38	0.264	0.408	0.489	0.313	0.378	0.384	0.298	0.257	0.284	0.278	0.249	0.267	0.507	0.505	0.262	0.388	0.297	0.38	0.337	0.484	0.28	0.241	0.249	0.307	0.449	0.306	0.391	0.365
AC_000175.1	0.651	0.666	0.62	0.25	0.23	0.245	0.334	0.245	0.378	0.38	0.245	0.213	0.364	0.3	0.247	0.23	0.281	0.233	0.242	0.463	0.413	0.23	0.365	0.26	0.284	0.275	0.405	0.272	0.179	0.236	0.317	0.427	0.262	0.378	0.33
AC_000176.1	0.681	0.695	0.645	0.248	0.247	0.243	0.351	0.252	0.365	0.426	0.256	0.223	0.27	0.322	0.241	0.27	0.292	0.238	0.244	0.454	0.439	0.224	0.36	0.236	0.337	0.276	0.398	0.263	0.179	0.227	0.292	0.398	0.237	0.37	0.325
AC_000177.1	0.749	0.765	0.717	0.268	0.262	0.257	0.352	0.262	0.387	0.479	0.296	0.153	0.341	0.287	0.289	0.271	0.239	0.246	0.272	0.514	0.491	0.238	0.362	0.241	0.305	0.259	0.434	0.252	0.169	0.235	0.232	0.46	0.252	0.373	0.316
AC_000178.1	0.705	0.718	0.671	0.268	0.26	0.261	0.363	0.261	0.394	0.448	0.339	0.27	0.344	0.313	0.288	0.328	0.269	0.26	0.273	0.47	0.436	0.248	0.327	0.285	0.351	0.248	0.4	0.238	0.185	0.255	0.292	0.435	0.24	0.438	0.339
AC_000179.1	0.744	0.757	0.709	0.317	0.295	0.316	0.378	0.301	0.406	0.478	0.36	0.249	0.361	0.341	0.294	0.276	0.313	0.291	0.281	0.48	0.47	0.276	0.358	0.286	0.357	0.339	0.409	0.268	0.23	0.28	0.29	0.46	0.326	0.447	0.39
AC_000180.1	0.71	0.724	0.678	0.258	0.224	0.237	0.322	0.23	0.373	0.436	0.277	0.263	0.361	0.299	0.234	0.235	0.299	0.221	0.237	0.451	0.456	0.232	0.353	0.272	0.257	0.27	0.461	0.234	0.168	0.237	0.163	0.431	0.241	0.348	0.301
