chr	S_1	S_2	S_3	IM_1	IM_2	IM_3	IM_4	O_1	O_2	O_3	O_4	O_5	O_6	M_1	M_2	M_3	M_4	M_5	M_6	N2C_1	N2C_2	N2C_3	N2C_4	N4C_1	N4C_2	N4C_3	N4C_4	N4C_5	N8C_1	N8C_2	N8C_3	N8C_4	N16C_1	N16C_2	N16C_3
AC_000158.1	462985	613139	340168	52162	45910	51889	40524	41010	44615	13649	20365	1689	2759	13328	68778	16616	4442	53103	38229	63487	52896	138928	11670	11240	79534	89594	20885	32066	104806	25920	3406	38143	124937	171124	239174
AC_000159.1	486839	641120	360137	41513	38396	42263	34267	22190	34074	8893	14685	541	1736	15371	56193	10067	1707	35676	30951	33441	40228	141810	6067	7610	72453	82269	14085	20722	93796	16988	3358	25590	148952	200548	278289
AC_000160.1	546451	704633	414233	65403	59746	65743	50970	30393	55370	15185	23157	1914	3424	19542	50513	21911	4913	62830	56850	51445	69378	180546	12322	14134	95617	116260	25733	38125	188779	31030	12953	37430	146504	225698	324122
AC_000161.1	455073	594858	342722	57360	48863	57801	45373	36155	48241	14370	22129	1928	3533	12532	65426	22144	4297	51729	47858	50591	63283	145924	12327	13273	87457	95283	24025	33765	126892	26298	2993	41615	151008	205682	251082
AC_000162.1	580701	749611	440742	55931	49169	55515	42501	45782	46291	10454	24666	490	2008	17804	37552	18754	2852	48337	47249	41799	54963	180208	8053	8790	88517	109538	17817	29454	175544	23535	2147	34601	188596	228354	347414
AC_000163.1	403005	524331	307273	48596	43203	50595	37385	36794	42920	11040	12574	1180	1983	11568	67334	13714	2972	47737	39256	42226	50744	134232	9595	10049	71334	79732	18372	29506	118646	23382	1801	31685	151879	173988	263887
AC_000164.1	540805	690696	420374	59603	50749	59480	50483	39910	50803	14671	27506	1519	2728	21183	79684	18833	3906	58749	43769	53255	69900	178302	11408	11355	97952	113566	24098	35208	150595	28053	6304	41086	205048	248179	384609
AC_000165.1	444704	569268	336072	73984	64620	73871	55796	46406	68102	17394	25127	2223	2763	13073	86419	28606	5067	71519	65227	63220	78925	160740	15736	14226	102171	115822	30317	48393	158451	33685	4035	62617	145865	199135	237281
AC_000166.1	343275	453001	251293	37709	32844	37175	26529	18871	29620	7754	10232	1085	1667	8895	46861	13131	2122	44055	25992	25527	36895	100254	6772	7521	54195	61488	12858	19797	88987	18133	1669	24896	113612	138182	157648
AC_000167.1	394839	522038	287774	32399	27103	30905	26293	14321	25625	6346	15606	401	1375	12205	41476	5196	1730	27360	22085	25840	36828	108774	4494	5476	58370	64193	10513	15880	106521	14268	1063	16893	120686	150642	224384
AC_000168.1	631306	806259	484932	61175	54153	60407	49346	38300	50614	12237	17209	1142	2749	20758	52447	17959	3666	43564	49846	46451	62034	200487	8856	11187	102965	124607	21385	35798	240975	27098	3246	42550	116578	279719	350793
AC_000169.1	324444	431113	234158	24136	21325	24399	17751	15866	18006	3858	8157	264	925	6683	15989	4418	981	20164	16970	16736	17004	87454	3154	4424	37732	49607	7047	12974	67558	11404	1337	10640	94858	113656	164561
AC_000170.1	479386	628887	358981	41837	35672	40706	31902	19146	32869	10093	13231	1055	2481	14921	26262	9845	3423	27671	31487	35971	43324	139474	6758	8513	71225	85274	14662	20697	120318	21880	2260	27940	141106	182963	286580
AC_000171.1	372861	487291	277788	36980	30224	38189	30267	19704	28531	8259	15145	1270	1633	10446	35873	7101	2018	24216	21635	30623	39895	115104	6746	8025	62764	69544	14350	20451	94463	16136	6427	24030	140816	166148	214231
AC_000172.1	351409	458034	255593	28583	24952	26894	21471	21796	22990	5904	8811	274	1154	10153	38136	6946	2195	24021	15652	22781	30725	97532	3674	4644	50538	57909	9470	14651	93199	12614	1084	20890	95724	140677	195894
